example_id                                                         | status | run_time        |
------------------------------------------------------------------ | ------ | --------------- |
./spec/controllers/admin/moderation_controller_spec.rb[1:1:1]      | passed | 0.71057 seconds |
./spec/controllers/admin/moderation_controller_spec.rb[1:1:2]      | passed | 0.48775 seconds |
./spec/controllers/admin/moderation_controller_spec.rb[1:1:3]      | passed | 0.43952 seconds |
./spec/controllers/admin/moderation_controller_spec.rb[1:2:1]      | passed | 0.42409 seconds |
./spec/controllers/admin/moderation_controller_spec.rb[1:2:2]      | passed | 0.41789 seconds |
./spec/controllers/admin/moderation_controller_spec.rb[1:3:1]      | passed | 0.66445 seconds |
./spec/controllers/admin/moderation_controller_spec.rb[1:3:2]      | passed | 0.62227 seconds |
./spec/controllers/conversations_controller_spec.rb[1:1:1:1]       | passed | 0.21265 seconds |
./spec/controllers/conversations_controller_spec.rb[1:1:1:2]       | passed | 0.43212 seconds |
./spec/controllers/conversations_controller_spec.rb[1:1:2:1]       | passed | 0.47227 seconds |
./spec/controllers/conversations_controller_spec.rb[1:1:2:2]       | passed | 0.65711 seconds |
./spec/controllers/conversations_controller_spec.rb[1:2:1]         | passed | 0.4449 seconds  |
./spec/controllers/conversations_controller_spec.rb[1:2:2]         | passed | 0.44242 seconds |
./spec/controllers/conversations_controller_spec.rb[1:2:3]         | passed | 0.42874 seconds |
./spec/controllers/conversations_controller_spec.rb[1:2:4]         | passed | 0.42707 seconds |
./spec/controllers/conversations_controller_spec.rb[1:2:5]         | passed | 0.44764 seconds |
./spec/controllers/conversations_controller_spec.rb[1:3:1:1]       | passed | 0.49289 seconds |
./spec/controllers/conversations_controller_spec.rb[1:3:1:2]       | passed | 0.43009 seconds |
./spec/controllers/conversations_controller_spec.rb[1:3:1:3]       | passed | 0.42961 seconds |
./spec/controllers/conversations_controller_spec.rb[1:3:2:1]       | passed | 0.22475 seconds |
./spec/controllers/conversations_controller_spec.rb[1:4:1]         | passed | 0.43898 seconds |
./spec/controllers/conversations_controller_spec.rb[1:4:2]         | passed | 0.43141 seconds |
./spec/controllers/conversations_controller_spec.rb[1:4:3:1]       | passed | 0.42665 seconds |
./spec/controllers/conversations_controller_spec.rb[1:4:4:1]       | passed | 0.64143 seconds |
./spec/controllers/conversations_controller_spec.rb[1:5:1]         | passed | 0.427 seconds   |
./spec/controllers/conversations_controller_spec.rb[1:5:2]         | passed | 0.43254 seconds |
./spec/controllers/conversations_controller_spec.rb[1:5:3:1]       | passed | 0.43821 seconds |
./spec/controllers/conversations_controller_spec.rb[1:5:4:1]       | passed | 0.64176 seconds |
./spec/controllers/email_verifications_controller_spec.rb[1:1:1:1] | passed | 0.00526 seconds |
